ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
11642	EU446346	UI13E03-lineage						order			materialSample	Eukaryota;Amoebozoa;Amoebozoa_X;Amoebozoa_XX;Amoebozoa_XXX;UI13E03-lineage;UI13E03-lineage_X;UI13E03-lineage_XX;UI13E03-lineage_XX_sp.
8604	FN562428	Lobosa-G1						class	France	Lyon	specimen	Eukaryota;Amoebozoa;Amoebozoa_X;Amoebozoa_XX;Lobosa-G1;Lobosa-G1_X;Lobosa-G1_XX;Lobosa-G1_XXX;Lobosa-G1_XXX_sp.
68676	FN562424	Lobosa-G1						class	France	Lyon	specimen	Eukaryota;Amoebozoa;Amoebozoa_X;Amoebozoa_XX;Lobosa-G1;Lobosa-G1_X;Lobosa-G1_XX;Lobosa-G1_XXX;Lobosa-G1_XXX_sp.
144356	FN562427	Lobosa-G1						class	France	Lyon	specimen	Eukaryota;Amoebozoa;Amoebozoa_X;Amoebozoa_XX;Lobosa-G1;Lobosa-G1_X;Lobosa-G1_XX;Lobosa-G1_XXX;Lobosa-G1_XXX_sp.
68087	AY026242	Acanthamoeba_astronyxis						species			specimen	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_astronyxis
91935	AF019064	Acanthamoeba_astronyxis						species			specimen	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_astronyxis
207566	AF239293	Acanthamoeba_astronyxis						species			specimen	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_astronyxis
279019	HQ007041	Acanthamoeba_astronyxis						species			specimen	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_astronyxis
6622	U07414	Acanthamoeba_castellanii						species			specimen	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_castellanii
15729	EF554328	Acanthamoeba_castellanii						species			specimen	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_castellanii
22430	AF114438	Acanthamoeba_castellanii						species			materialSample	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_castellanii
28400	U07401	Acanthamoeba_castellanii						species			specimen	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_castellanii
30564	GU001160	Acanthamoeba_castellanii						species			materialSample	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_castellanii
36284	U07413	Acanthamoeba_castellanii						species			specimen	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_castellanii
62090	U07403	Acanthamoeba_castellanii						species			specimen	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_castellanii
65965	AF251938	Acanthamoeba_castellanii						species			specimen	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_castellanii
70696	U07405	Acanthamoeba_castellanii						species			specimen	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_castellanii
71280	M13435	Acanthamoeba_castellanii						species			materialSample	Eukaryota;Amoebozoa;Discosea;Discosea_X;Centramoebia;Acanthopodida;Acanthamoebidae;Acanthamoeba;Acanthamoeba_castellanii
