ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NR_076108	NR_076108	Pyrobaculum calidifontis Amo et al. 2008			TYPE	JCM:11548		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_calidifontis
NG_042012	NG_042012	Pyrobaculum calidifontis Amo et al. 2008			TYPE	JCM:11548		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_calidifontis
NG_041948	NG_041948	Aeropyrum camini Nakagawa et al. 2004			TYPE	JCM:12091		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;Aeropyrum_camini
NG_041955	NG_041955	Caldivirga maquilingensis Itoh et al. 1999			TYPE			species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;Caldivirga_maquilingensis
NG_041956	NG_041956	Aeropyrum pernix Sako et al. 1996			TYPE	NBRC:100138		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;Aeropyrum_pernix
NG_041952	NG_041952	Pyrobaculum neutrophilum (Stetter and Zillig 1989) Chan et al. 2013			TYPE	DSM:2338		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_neutrophilum
NR_103215	NR_103215	Fervidicoccus fontis Perevalova et al. 2010			TYPE	DSM:19380		species	Russia	Uzon caldera, Kamchatka	materialSample	Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;Fervidicoccus_fontis
NR_102991	NR_102991	Pyrobaculum neutrophilum (Stetter and Zillig 1989) Chan et al. 2013			TYPE	DSM:2338		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum_neutrophilum
NR_103216	NR_103216	Aeropyrum pernix Sako et al. 1996			TYPE	NBRC:100138		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;Aeropyrum_pernix
NR_103141	NR_103141	Caldivirga maquilingensis Itoh et al. 1999			TYPE			species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;Caldivirga_maquilingensis
NR_121922	NR_121922	Aeropyrum camini Nakagawa et al. 2004			TYPE	JCM:12091		species			materialSample	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;Aeropyrum_camini
NR_103991	NR_103991	Salinarchaeum sp. Harcht-Bsk1						species			materialSample	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Natrialbales;Natrialbaceae;Salinarchaeum;unclassified Salinarchaeum;Salinarchaeum_sp.
NR_103197	NR_103197	Thermoproteus uzoniensis Bonch-Osmolovskaya et al. 2001						species	Russia	Kamchatka	materialSample	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;Thermoproteus_uzoniensis
