ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NG_242871	NG_242871	Pleurophragmium naviculare (Jing Yang, Jian K. Liu & K.D. Hyde) Réblová & Hern.-Restr., 2025			HOLOTYPE	GZCC:20-0484		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariomycetes incertae sedis;Pleurophragmium;Pleurophragmium_naviculare
NG_068427	NG_068427	Pleurophragmium guizhouense (N.G. Liu, K.D. Hyde & J.K. Liu) Réblová & Hern.-Restr., 2025			HOLOTYPE	GZCC:20-0008		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Sordariomycetes incertae sedis;Pleurophragmium;Pleurophragmium_guizhouense
NG_067666	NG_067666	Fomitopsis serrata (Vlasák & Spirin) Vlasák f. & Spirin, 2024			HOLOTYPE	H:JV 0809/72		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Fomitopsis;Fomitopsis_serrata
NG_065070	NG_065070	Microstroma glucosiphilum (T. Kij. & Aime) Aime & Bensch, 2025			HOLOTYPE	CBS:14053		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes;Microstromatales;Microstromataceae;Microstroma;Microstroma_glucosiphilum
NG_245395	NG_245395	Halomyrma pluriseptata Réblová & Vohník, 2025			HOLOTYPE	CCF<CZE>:3788		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Lulworthiomycetidae;Lulworthiales;Lulworthiaceae;Halomyrma;Halomyrma_pluriseptata
NG_245394	NG_245394	Ophiocordyceps anocheti S.Q. Xie, Y.P. Xiao & Y. Yang, 2025			HOLOTYPE	HKAS:132231		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Hypocreales;Ophiocordycipitaceae;Ophiocordyceps;Ophiocordyceps_anocheti
NG_245393	NG_245393	Ophiocordyceps pseudobifertilis Y. Wang & Y.H. Guan, 2025			HOLOTYPE	GMB:3114		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreomycetidae;Hypocreales;Ophiocordycipitaceae;Ophiocordyceps;Ophiocordyceps_pseudobifertilis
NG_245392	NG_245392	Tetraploa maritima R. Asghari, Phukhams. & K.D. Hyde, 2025			HOLOTYPE	MFLU:24-0455		species			materialSample	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporomycetidae;Pleosporales;Tetraplosphaeriaceae;Tetraploa;Tetraploa_maritima
NG_245391	NG_245391	Sanguinoderma aurantiacus K.Y. Niu, S.M. Tang & Z.L. Luo, 2025			PARATYPE	HKAS:144479		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Polyporaceae;Sanguinoderma;Sanguinoderma_aurantiacus
NG_245390	NG_245390	Sanguinoderma bambusae K.Y. Niu, S.M. Tang & Z.L. Luo, 2025			HOLOTYPE	HKAS:144474		species			materialSample	Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Polyporaceae;Sanguinoderma;Sanguinoderma_bambusae
