ID	accessionNumber	scientificName	decimalLatitude	decimalLongitude	typeStatus	catalogueNumber	identifiedBy	taxonRank	country	locality	basisOfRecord	higherClassification
NR_147884	NR_147884	Phytophthora boehmeriae Sawada, 1927			HOLOTYPE	CBS:291.29		species			materialSample	Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_boehmeriae
NR_147883	NR_147883	Phytophthora ornamentata Scanu, Linald. & T. Jung, 2015			HOLOTYPE	CBS:140647		species			materialSample	Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_ornamentata
NR_147882	NR_147882	Phytophthora crassamura Scanu, Deidda & T. Jung, 2015			HOLOTYPE	CBS:140357		species			materialSample	Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_crassamura
NR_147881	NR_147881	Phytophthora lactucae Bertier, H. Brouwer & De Cock, 2013			TYPE	BPIC:1985		species			materialSample	Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_lactucae
NR_147880	NR_147880	Phytophthora amnicola T.I. Burgess & T. Jung 2012			HOLOTYPE	CBS:131652		species			materialSample	Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_amnicola
NR_147879	NR_147879	Phytophthora fluvialis T. Jung & T.I. Burgess, 2011			HOLOTYPE	CBS:129424		species			materialSample	Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_fluvialis
NR_147878	NR_147878	Phytophthora obscura Grünwald & Werres, 2012			HOLOTYPE	CBS:129273		species			materialSample	Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_obscura
NR_147877	NR_147877	Phytophthora ramorum Werres, De Cock & Man in 't Veld, 2001			TYPE	CBS:101553		species			materialSample	Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_ramorum
NR_147876	NR_147876	Phytophthora nemorosa E.M. Hansen & Reeser, 2003			HOLOTYPE	CBS:114870		species			materialSample	Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_nemorosa
NR_147875	NR_147875	Phytophthora litoralis			TYPE	CBS:127953		species			materialSample	Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora_litoralis
